trip_id,start_time,end_time,headway_secs,exact_times
A01,05:00:00,05:56:00,480,1
A01,05:56:00,06:52:00,420,1
A01,06:52:00,07:49:00,342,1
A01,07:49:00,10:44:30,240,1
A01,10:44:30,16:35:30,293,1
A02,05:00:00,22:27:30,420,1
A03,08:00:00,22:03:00,480,1
A01,16:35:30,19:31:00,240,1
A01,19:31:00,20:28:00,285,1
A01,20:28:00,21:24:00,373,1
A01,21:24:00,22:20:00,420,1
A01,22:20:00,22:31:00,480,1
B01,05:00:00,05:58:00,348,1
B01,05:58:00,06:57:00,253,1
B01,06:57:00,07:59:00,207,1
B01,07:59:00,10:03:00,200,1
B01,10:03:00,16:15:00,248,1
B01,16:15:00,17:17:00,200,1
B01,17:17:00,19:21:00,200,1
B01,19:21:00,20:23:00,207,1
B01,20:23:00,21:23:00,360,1
B01,21:23:00,22:21:30,387,1
B02,05:00:00,22:21:30,420,1
B03,08:00:00,22:00:00,485,1
C02,05:00:00,22:45:15,360,1
C03,08:00:00,22:21:15,450,1
C01,05:00:00,06:03:00,315,1
C01,06:03:00,06:34:30,270,1
C01,06:34:30,10:19:15,220,1
C01,10:19:15,14:29:09,266,1
C01,14:29:09,16:32:17,233,1
C01,16:32:17,20:15:15,220,1
C01,20:15:15,20:47:15,266,1
C01,20:47:15,22:45:15,315,1
D01,05:00:00,05:54:30,327,1
D02,05:00:00,22:24:00,420,1
D03,08:00:00,22:00:00,420,1
D01,05:54:30,06:49:00,273,1
D01,06:49:00,07:49:00,220,1
D01,07:49:00,10:51:15,220,1
D01,10:51:15,16:37:45,220,1
D01,16:37:45,19:40:27,220,1
D01,19:40:27,20:39:30,220,1
D01,20:39:30,21:34:00,273,1
D01,21:34:00,22:24:00,327,1
E01,05:00:00,06:40:00,500,1
E01,06:40:00,07:30:00,375,1
E01,07:30:00,11:03:00,330,1
E01,11:03:00,16:02:00,333,1
E01,16:02:00,20:27:00,330,1
E01,20:27:00,21:19:00,375,1
E01,21:19:00,22:27:00,500,1
E02,05:00:00,22:27:00,480,1
E03,08:00:00,22:03:00,480,1
H01,05:00:00,07:00:00,450,1
H01,07:00:00,20:15:00,400,1
H01,20:15:00,23:00:00,450,1
H02,05:00:00,12:30:00,450,1
H02,12:30:00,23:00:00,600,1
H03,08:00:00,22:30:00,600,1
A11,05:00:00,05:56:00,480,1
A11,05:56:00,06:52:00,420,1
A11,06:52:00,07:49:00,342,1
A11,07:49:00,10:44:30,240,1
A11,10:44:30,16:35:30,293,1
A11,16:35:30,19:31:00,240,1
A11,19:31:00,20:28:00,285,1
A11,20:28:00,21:24:00,373,1
A11,21:24:00,22:20:00,420,1
A11,22:20:00,22:31:30,480,1
A12,05:00:00,22:27:30,420,1
A13,08:00:00,22:03:00,480,1
B11,05:00:00,05:58:00,348,1
B11,05:58:00,06:57:00,253,1
B11,06:57:00,07:59:00,207,1
B11,07:59:00,10:03:00,200,1
B11,10:03:00,16:15:00,248,1
B11,16:15:00,17:17:00,200,1
B11,17:17:00,19:21:00,200,1
B11,19:21:00,20:23:00,207,1
B11,20:23:00,21:23:00,360,1
B11,21:23:00,22:21:30,387,1
B12,05:00:00,22:21:30,420,1
B13,08:00:00,22:00:00,485,1
C11,05:00:00,06:03:00,315,1
C11,06:03:00,06:34:30,270,1
C11,06:34:30,10:19:15,220,1
C11,10:19:15,14:29:09,266,1
C11,14:29:09,16:32:17,233,1
C11,16:32:17,20:15:15,220,1
C11,20:15:15,20:47:15,266,1
C11,20:47:15,22:45:15,315,1
C12,05:00:00,22:45:15,360,1
C13,08:00:00,22:21:15,450,1
D11,05:00:00,05:54:30,327,1
D11,05:54:30,06:49:00,273,1
D11,06:49:00,07:49:00,220,1
D11,07:49:00,10:51:15,220,1
D11,10:51:15,16:37:45,220,1
D11,16:37:45,19:40:27,220,1
D11,19:40:27,20:39:30,220,1
D11,20:39:30,21:34:00,273,1
D11,21:34:00,22:24:00,327,1
D12,05:00:00,22:24:00,420,1
D13,08:00:00,22:00:00,420,1
E11,05:00:00,06:40:00,500,1
E11,06:40:00,07:30:00,375,1
E11,07:30:00,11:03:00,330,1
E11,11:03:00,16:02:00,333,1
E11,16:02:00,20:27:00,330,1
E11,20:27:00,21:19:00,375,1
E11,21:19:00,22:27:00,500,1
E12,05:00:00,22:27:00,480,1
E13,08:00:00,22:03:00,480,1
H11,05:00:00,07:00:00,450,1
H11,07:00:00,20:15:00,400,1
H11,20:15:00,23:00:00,450,1
H12,05:00:00,12:30:00,450,1
H12,12:30:00,23:00:00,600,1
H13,08:00:00,22:30:00,600,1
P1-01,05:30:00,06:28:00,870,1
P1-01,06:28:00,09:26:00,800,1
P1-01,09:26:00,14:16:00,774,1
P1-01,14:16:00,16:12:00,870,1
P1-01,16:12:00,17:10:00,774,1
P1-01,17:10:00,19:10:00,800,1
P1-01,19:10:00,21:00:00,840,1
P1-02,05:30:00,11:18:00,1160,1
P1-02,11:18:00,18:04:00,994,1
P1-02,18:04:00,21:00:00,1160,1
P1-03,08:00:00,15:44:00,1160,1
P1-03,15:44:00,19:36:00,994,1
P1-03,19:36:00,21:00:00,1160,1
P1-11,05:30:00,06:28:00,870,1
P1-11,06:28:00,09:26:00,800,1
P1-11,09:26:00,14:16:00,774,1
P1-11,14:16:00,16:12:00,870,1
P1-11,16:12:00,17:10:00,774,1
P1-11,17:10:00,19:10:00,800,1
P1-11,19:10:00,21:00:00,840,1
P1-12,05:30:00,11:18:00,1160,1
P1-12,11:18:00,18:04:00,994,1
P1-12,18:04:00,21:00:00,1160,1
P1-13,08:00:00,15:44:00,1160,1
P1-13,15:44:00,19:36:00,994,1
P1-13,19:36:00,21:00:00,1160,1
P2-01,05:37:15,06:35:15,870,1
P2-01,06:35:15,09:32:40,800,1
P2-01,09:32:40,14:22:27,774,1
P2-01,14:22:27,16:19:15,870,1
P2-01,16:19:15,17:16:27,774,1
P2-01,17:16:27,19:16:40,800,1
P2-01,19:16:40,20:56:00,840,1
P2-02,05:39:40,11:27:40,1160,1
P2-02,11:27:40,18:11:17,994,1
P2-02,18:11:17,20:56:00,1160,1
P2-03,08:09:40,15:54:16,1160,1
P2-03,15:54:16,19:44:17,994,1
P2-03,19:44:17,20:52:00,1160,1
P2-11,05:37:15,06:35:15,870,1
P2-11,06:35:15,09:32:40,800,1
P2-11,09:32:40,14:22:27,774,1
P2-11,14:22:27,16:19:15,870,1
P2-11,16:19:15,17:16:27,774,1
P2-11,17:16:27,19:16:40,800,1
P2-11,19:16:40,20:56:00,840,1
P2-12,05:39:40,11:27:40,1160,1
P2-12,11:27:40,18:11:17,994,1
P2-12,18:11:17,20:56:00,1160,1
P2-13,08:09:40,15:54:16,1160,1
P2-13,15:54:16,19:44:17,994,1
P2-13,19:44:17,20:52:00,1160,1
