stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1059N,,San Pedrito,,-34.630922591443,-58.470433205504,4,,0,1059
1060N,,San José de Flores,,-34.629054501979,-58.463536343831,4,,0,1060
1061N,,Carabobo,,-34.626422392738,-58.456044495010,4,,0,1061
1062N,,Puán,,-34.623571847053,-58.448787778687,4,,0,1062
1063N,,Primera Junta,,-34.620460192436,-58.441400975016,4,,0,1063
1064N,,Acoyte,,-34.618036012360,-58.435862213379,4,,0,1064
1065N,,Río de Janeiro,,-34.615111439413,-58.429285879212,4,,0,1065
1066N,,Castro Barros,,-34.611763606902,-58.421728313005,4,,0,1066
1067N,,Loria,,-34.610811060554,-58.415152877453,4,,0,1067
1068N,,Plaza Miserere,,-34.609688,-58.406813889700,4,,0,1068
1070N,,Pasco,,-34.609664444429,-58.398340314029,4,,0,1070
1071N,,Congreso,,-34.609241487037,-58.392670601487,4,,0,1071
1072N,,Sáenz Peña,,-34.609416989391,-58.386668153102,4,,0,1072
1073N,,Lima,,-34.609105721538,-58.382521122784,4,,0,1073
1074N,,Piedras,,-34.608837932068,-58.378502407734,4,,0,1074
1075N,,Perú,,-34.608559343180,-58.374563008418,4,,0,1075
1076N,,Plaza de Mayo,,-34.608695109514,-58.371493220293,4,,0,1076
1059S,,San Pedrito,,-34.630922591443,-58.470433205504,4,,0,1059
1060S,,San José de Flores,,-34.629054501979,-58.463536343831,4,,0,1060
1061S,,Carabobo,,-34.626422392738,-58.456044495010,4,,0,1061
1062S,,Puán,,-34.623571847053,-58.448787778687,4,,0,1062
1063S,,Primera Junta,,-34.620460192436,-58.441400975016,4,,0,1063
1064S,,Acoyte,,-34.618036012360,-58.435862213379,4,,0,1064
1065S,,Río de Janeiro,,-34.615111439413,-58.429285879212,4,,0,1065
1066S,,Castro Barros,,-34.611763606902,-58.421728313005,4,,0,1066
1067S,,Loria,,-34.610811060554,-58.415152877453,4,,0,1067
1068S,,Plaza Miserere,,-34.609688,-58.406813889700,4,,0,1068
1069S,,Alberti,,-34.609832012885,-58.400719910883,4,,0,1069
1071S,,Congreso,,-34.609241487037,-58.392670601487,4,,0,1071
1072S,,Sáenz Peña,,-34.609416989391,-58.386668153102,4,,0,1072
1073S,,Lima,,-34.609105721538,-58.382521122784,4,,0,1073
1074S,,Piedras,,-34.608837932068,-58.378502407734,4,,0,1074
1075S,,Perú,,-34.608559343180,-58.374563008418,4,,0,1075
1076S,,Plaza de Mayo,,-34.608695109514,-58.371493220293,4,,0,1076
1077N,,Juan Manuel de Rosas,,-34.574011003989,-58.486718237493,4,,0,1077
