from_stop_id,to_stop_id,transfer_type,min_transfer_time
1073N,1098O,2,186
1073N,1098E,2,186
1073S,1098E,2,186
1073S,1098O,2,186
1075N,1118N,2,186
1075N,1118S,2,186
1075S,1118S,2,186
1075S,1118N,2,186
1075N,1119N,2,204
1075N,1119S,2,204
1075S,1119S,2,204
1075S,1119N,2,204
1068N,1140O,2,186
1068N,1140E,2,186
1068S,1140E,2,186
1068S,1140O,2,186
1091N,1099E,2,360
1091N,1099O,2,360
1091S,1099O,2,360
1091S,1099E,2,360
1091N,1117N,2,186
1091N,1117S,2,186
1091S,1117S,2,186
1091S,1117N,2,186
1087N,1141E,2,186
1087N,1141O,2,186
1087S,1141O,2,186
1087S,1141E,2,186
1098O,1073N,2,186
1098O,1073S,2,186
1098E,1073S,2,186
1098E,1073N,2,186
1099O,1091N,2,360
1099O,1091S,2,360
1099E,1091S,2,360
1099E,1091N,2,360
1099O,1117N,2,324
1099O,1117S,2,324
1099E,1117S,2,324
1099E,1117N,2,324
1096E,1121N,2,222
1096E,1121S,2,222
1096O,1121S,2,222
1096O,1121N,2,222
1118N,1075N,2,186
1118N,1075S,2,186
1118S,1075S,2,186
1118S,1075N,2,186
1117N,1091N,2,186
1117N,1091S,2,186
1117S,1091S,2,186
1117S,1091N,2,186
1117N,1099O,2,324
1117N,1099E,2,324
1117S,1099E,2,324
1117S,1099O,2,324
1118N,1119N,2,324
1118N,1119S,2,324
1118S,1119S,2,324
1118S,1119N,2,324
1119N,1075N,2,204
1119N,1075S,2,204
1119S,1075S,2,204
1119S,1075N,2,204
1121N,1096E,2,222
1121N,1096O,2,222
1121S,1096O,2,222
1121S,1096E,2,222
1119N,1118N,2,324
1119N,1118S,2,324
1119S,1118S,2,324
1119S,1118N,2,324
1125N,1138E,2,186
1125N,1138O,2,186
1125S,1138O,2,186
1125S,1138E,2,186
1133N,1142N,2,60
1133N,1142S,2,60
1133S,1142S,2,60
1133S,1142N,2,60
1140O,1068N,2,186
1140O,1068S,2,186
1140E,1068S,2,186
1140E,1068N,2,186
1141O,1087N,2,186
1141O,1087S,2,186
1141E,1087S,2,186
1141E,1087N,2,186
1138O,1125N,2,186
1138O,1125S,2,186
1138E,1125S,2,186
1138E,1125N,2,186
1142N,1133N,2,60
1142N,1133S,2,60
1142S,1133S,2,60
1142S,1133N,2,60
1161O,1113N,2,186
1161O,1113S,2,186
1161E,1113S,2,186
1161E,1113N,2,186
1113N,1161O,2,186
1113S,1161O,2,186
1113S,1161E,2,186
1113N,1161E,2,186
