service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
132788,1,1,1,1,1,1,0,20160217,20160817
135516,0,0,0,0,0,1,1,20160217,20160817
132183,0,0,0,0,0,0,1,20160217,20160817
135517,0,0,0,0,0,1,1,20160217,20160817
132182,1,1,1,1,1,0,0,20160217,20160817
135518,0,0,0,0,0,1,1,20160217,20160817
26656,1,1,1,1,1,0,0,20160217,20160817
26949,0,0,0,0,0,0,1,20160217,20160817
36384,0,0,0,0,0,1,0,20160217,20160817
36479,1,1,1,1,1,0,0,20160217,20160817
42664,1,1,1,1,1,0,0,20160217,20160817
38501,0,0,0,0,0,1,0,20160217,20160817
38504,0,0,0,0,0,0,1,20160217,20160817
40064,1,1,1,1,1,0,0,20160217,20160817
40074,1,1,1,1,1,1,1,20160217,20160817
42666,1,1,1,1,1,0,0,20160217,20160817
42665,1,1,1,1,1,0,0,20160217,20160817
41883,0,0,0,0,1,1,0,20160217,20160817
41882,1,1,1,1,0,0,0,20160217,20160817
41987,1,1,1,0,0,0,0,20160217,20160817
41886,0,0,0,0,0,0,1,20160217,20160817
41994,0,0,0,1,0,0,0,20160217,20160817
41989,0,0,0,1,0,0,0,20160217,20160817
41998,0,0,0,0,0,0,1,20160217,20160817
41996,0,0,0,0,1,1,0,20160217,20160817
42085,0,0,0,0,0,1,0,20160217,20160817
42083,0,0,0,0,1,0,0,20160217,20160817
42653,1,0,0,0,0,0,0,20160217,20160817
42138,0,0,0,0,1,1,0,20160217,20160817
42652,0,1,0,0,0,0,0,20160217,20160817
42651,1,0,0,0,0,0,0,20160217,20160817
36489,0,0,0,0,0,1,0,20160217,20160817
16092,1,1,1,1,1,0,0,20160217,20160817
40450,0,0,1,1,1,0,0,20160217,20160817
16233,0,0,0,0,0,0,1,20160217,20160817
40622,1,1,1,1,1,1,1,20160217,20160817
132829,0,0,0,0,1,1,1,20160217,20160817
38274,1,1,1,1,1,1,1,20160217,20160817
39389,0,0,0,0,0,0,1,20160217,20160817
36238,1,1,1,1,1,0,0,20160217,20160817
38253,1,1,1,1,1,1,1,20160217,20160817
132830,0,0,0,0,1,1,1,20160217,20160817
132831,0,0,0,0,1,1,1,20160217,20160817
38824,0,0,0,0,0,1,0,20160217,20160817
38827,0,0,0,0,0,0,1,20160217,20160817
38742,1,1,1,1,1,0,0,20160217,20160817
38754,1,1,1,1,1,0,0,20160217,20160817
14741,1,1,1,1,1,0,0,20160217,20160817
38881,1,1,1,1,1,0,0,20160217,20160817
38835,0,0,0,0,0,0,1,20160217,20160817
38832,0,0,0,0,0,1,0,20160217,20160817
42571,1,1,1,1,1,0,0,20160217,20160817
28960,0,0,0,0,0,0,1,20160217,20160817
16203,0,0,0,0,0,1,0,20160217,20160817
